"time_stamp","AAPL.Volume","price"
2020-11-17 11:46:00,710172,119.8793
2020-11-17 11:47:00,272346,119.82
2020-11-17 11:48:00,123876,119.84
2020-11-17 11:49:00,113896,119.75
2020-11-17 11:50:00,97615,119.8001
2020-11-17 11:51:00,117624,119.7
2020-11-17 11:52:00,116800,119.695
2020-11-17 11:53:00,83728,119.7858
2020-11-17 11:54:00,157194,119.8795
2020-11-17 11:55:00,97512,119.9107
2020-11-17 11:56:00,260835,119.99
2020-11-17 11:57:00,143150,120.065
2020-11-17 11:58:00,118675,120.055
2020-11-17 11:59:00,128767,120.1382
2020-11-17 12:00:00,131819,120.22
2020-11-17 12:01:00,171290,120.1819
2020-11-17 12:02:00,125458,120.13
2020-11-17 12:03:00,94650,120.164
2020-11-17 12:04:00,97826,120.1401
2020-11-17 12:05:00,95405,120.17
2020-11-17 12:06:00,117202,120.1502
2020-11-17 12:07:00,85819,120.11
2020-11-17 12:08:00,104055,120.105
2020-11-17 12:09:00,124302,120.1801
2020-11-17 12:10:00,164281,120.17
2020-11-17 12:11:00,107694,120.115
2020-11-17 12:12:00,85847,120.1142
2020-11-17 12:13:00,94466,120.065
2020-11-17 12:14:00,131482,120.0723
2020-11-17 12:15:00,293157,120.2434
2020-11-17 12:16:00,163274,120.2384
2020-11-17 12:17:00,78230,120.22
2020-11-17 12:18:00,75875,120.2117
2020-11-17 12:19:00,267477,120.225
2020-11-17 12:20:00,72696,120.19
2020-11-17 12:21:00,49375,120.205
2020-11-17 12:22:00,158588,120.1336
2020-11-17 12:23:00,121796,120.18
2020-11-17 12:24:00,62478,120.13
2020-11-17 12:25:00,55385,120.2034
2020-11-17 12:26:00,68892,120.2216
2020-11-17 12:27:00,155172,120.3
2020-11-17 12:28:00,163476,120.3
2020-11-17 12:29:00,99473,120.2146
2020-11-17 12:30:00,90319,120.205
2020-11-17 12:31:00,82846,120.2601
2020-11-17 12:32:00,74582,120.3007
2020-11-17 12:33:00,156071,120.3239
2020-11-17 12:34:00,99326,120.32
2020-11-17 12:35:00,71217,120.3393
2020-11-17 12:36:00,122189,120.38
2020-11-17 12:37:00,102612,120.32
2020-11-17 12:38:00,88189,120.32
2020-11-17 12:39:00,126392,120.39
2020-11-17 12:40:00,55860,120.385
2020-11-17 12:41:00,66566,120.3407
2020-11-17 12:42:00,64269,120.335
2020-11-17 12:43:00,84694,120.32
2020-11-17 12:44:00,141969,120.285
2020-11-17 12:45:00,99525,120.3
2020-11-17 12:46:00,89466,120.3683
2020-11-17 12:47:00,127045,120.415
2020-11-17 12:48:00,84248,120.3568
2020-11-17 12:49:00,108799,120.334
2020-11-17 12:50:00,83955,120.3619
2020-11-17 12:51:00,120470,120.415
2020-11-17 12:52:00,76054,120.41
2020-11-17 12:53:00,70776,120.4266
2020-11-17 12:54:00,88131,120.42
2020-11-17 12:55:00,89573,120.415
2020-11-17 12:56:00,203119,120.365
2020-11-17 12:57:00,75243,120.43
2020-11-17 12:58:00,133849,120.47
2020-11-17 12:59:00,59620,120.454
2020-11-17 13:00:00,83051,120.475
2020-11-17 13:01:00,243565,120.505
2020-11-17 13:02:00,331464,120.606
2020-11-17 13:03:00,154265,120.59
2020-11-17 13:04:00,121094,120.61
2020-11-17 13:05:00,99945,120.6
2020-11-17 13:06:00,132992,120.5874
2020-11-17 13:07:00,108795,120.64
2020-11-17 13:08:00,146616,120.6693
2020-11-17 13:09:00,197305,120.535
2020-11-17 13:10:00,138841,120.52
2020-11-17 13:11:00,103775,120.5442
2020-11-17 13:12:00,82974,120.51
2020-11-17 13:13:00,108393,120.4801
2020-11-17 13:14:00,88519,120.52
2020-11-17 13:15:00,51572,120.55
2020-11-17 13:16:00,90356,120.54
2020-11-17 13:17:00,86111,120.535
2020-11-17 13:18:00,161751,120.603
2020-11-17 13:19:00,78447,120.54
2020-11-17 13:20:00,64323,120.505
2020-11-17 13:21:00,117109,120.424
2020-11-17 13:22:00,78457,120.4284
2020-11-17 13:23:00,133851,120.3501
2020-11-17 13:24:00,113148,120.375
2020-11-17 13:25:00,116681,120.32
2020-11-17 13:26:00,115743,120.3643
2020-11-17 13:27:00,142497,120.4201
2020-11-17 13:28:00,68687,120.4018
2020-11-17 13:29:00,72210,120.4241
2020-11-17 13:30:00,80892,120.48
2020-11-17 13:31:00,160597,120.4818
2020-11-17 13:32:00,90203,120.4818
2020-11-17 13:33:00,54235,120.4816
2020-11-17 13:34:00,54194,120.45
2020-11-17 13:35:00,39751,120.46
2020-11-17 13:36:00,86172,120.4
2020-11-17 13:37:00,59037,120.42
2020-11-17 13:38:00,56911,120.405
2020-11-17 13:39:00,45577,120.38
2020-11-17 13:40:00,41282,120.407
2020-11-17 13:41:00,84201,120.39
2020-11-17 13:42:00,92037,120.36
2020-11-17 13:43:00,64534,120.3384
2020-11-17 13:44:00,75458,120.365
2020-11-17 13:45:00,75772,120.3735
2020-11-17 13:46:00,63268,120.3101
2020-11-17 13:47:00,67639,120.34
2020-11-17 13:48:00,60680,120.3453
2020-11-17 13:49:00,60331,120.35
2020-11-17 13:50:00,59824,120.355
2020-11-17 13:51:00,83715,120.3199
2020-11-17 13:52:00,72239,120.33
2020-11-17 13:53:00,74275,120.3199
2020-11-17 13:54:00,82380,120.32
2020-11-17 13:55:00,47765,120.33
2020-11-17 13:56:00,111098,120.375
2020-11-17 13:57:00,140802,120.437
2020-11-17 13:58:00,87804,120.36
2020-11-17 13:59:00,90309,120.35
2020-11-17 14:00:00,61611,120.36
2020-11-17 14:01:00,137176,120.37
2020-11-17 14:02:00,153640,120.44
2020-11-17 14:03:00,145051,120.47
2020-11-17 14:04:00,84069,120.42
2020-11-17 14:05:00,141132,120.45
2020-11-17 14:06:00,83511,120.45
2020-11-17 14:07:00,55059,120.445
2020-11-17 14:08:00,80082,120.48
2020-11-17 14:09:00,146957,120.5119
2020-11-17 14:10:00,107232,120.535
2020-11-17 14:11:00,147469,120.5407
2020-11-17 14:12:00,79181,120.5693
2020-11-17 14:13:00,106364,120.57
2020-11-17 14:14:00,117123,120.506
2020-11-17 14:15:00,127399,120.5201
2020-11-17 14:16:00,84015,120.525
2020-11-17 14:17:00,77925,120.487
2020-11-17 14:18:00,83712,120.489
2020-11-17 14:19:00,71687,120.465
2020-11-17 14:20:00,89105,120.464
2020-11-17 14:21:00,90119,120.4215
2020-11-17 14:22:00,78661,120.455
2020-11-17 14:23:00,98030,120.4408
2020-11-17 14:24:00,67551,120.415
2020-11-17 14:25:00,103581,120.4508
2020-11-17 14:26:00,121029,120.51
2020-11-17 14:27:00,78289,120.495
2020-11-17 14:28:00,89915,120.43
2020-11-17 14:29:00,93119,120.37
2020-11-17 14:30:00,173120,120.3041
2020-11-17 14:31:00,129373,120.4
2020-11-17 14:32:00,65492,120.3659
2020-11-17 14:33:00,71130,120.3499
2020-11-17 14:34:00,67756,120.3801
2020-11-17 14:35:00,58520,120.41
2020-11-17 14:36:00,113574,120.46
2020-11-17 14:37:00,152355,120.46
2020-11-17 14:38:00,130118,120.505
2020-11-17 14:39:00,116620,120.531
2020-11-17 14:40:00,70459,120.51
2020-11-17 14:41:00,97768,120.4648
2020-11-17 14:42:00,77994,120.465
2020-11-17 14:43:00,88555,120.435
2020-11-17 14:44:00,99358,120.45
2020-11-17 14:45:00,70336,120.45
2020-11-17 14:46:00,83430,120.4431
2020-11-17 14:47:00,142112,120.34
2020-11-17 14:48:00,100591,120.3908
2020-11-17 14:49:00,96325,120.32
2020-11-17 14:50:00,291906,120.18
2020-11-17 14:51:00,169196,120.1677
2020-11-17 14:52:00,106173,120.1821
2020-11-17 14:53:00,92725,120.17
2020-11-17 14:54:00,84566,120.155
2020-11-17 14:55:00,170713,120.07
2020-11-17 14:56:00,130167,120.07
2020-11-17 14:57:00,127589,120.1
2020-11-17 14:58:00,286440,120.01
2020-11-17 14:59:00,120722,120
2020-11-17 15:00:00,112502,120.0141
2020-11-17 15:01:00,176777,120.01
2020-11-17 15:02:00,196148,120.04
2020-11-17 15:03:00,190456,119.9799
2020-11-17 15:04:00,148838,120.0692
2020-11-17 15:05:00,120377,120.075
2020-11-17 15:06:00,119602,120.111
2020-11-17 15:07:00,136818,120.11
2020-11-17 15:08:00,145183,120.05
2020-11-17 15:09:00,158782,119.9808
2020-11-17 15:10:00,167471,119.92
2020-11-17 15:11:00,175470,119.88
2020-11-17 15:12:00,203459,119.8146
2020-11-17 15:13:00,139826,119.9152
2020-11-17 15:14:00,133828,119.9749
2020-11-17 15:15:00,126060,119.945
2020-11-17 15:16:00,111538,120
2020-11-17 15:17:00,141598,120
2020-11-17 15:18:00,98097,119.915
2020-11-17 15:19:00,98279,119.9241
2020-11-17 15:20:00,92467,119.895
2020-11-17 15:21:00,265291,119.77
2020-11-17 15:22:00,151956,119.85
2020-11-17 15:23:00,168976,119.845
2020-11-17 15:24:00,327065,119.61
2020-11-17 15:25:00,253343,119.715
2020-11-17 15:26:00,148569,119.74
2020-11-17 15:27:00,148283,119.685
2020-11-17 15:28:00,161541,119.695
2020-11-17 15:29:00,148759,119.755
2020-11-17 15:30:00,117479,119.77
2020-11-17 15:31:00,127258,119.75
2020-11-17 15:32:00,172586,119.725
2020-11-17 15:33:00,106347,119.7
2020-11-17 15:34:00,139680,119.66
2020-11-17 15:35:00,133937,119.59
2020-11-17 15:36:00,158787,119.66
2020-11-17 15:37:00,112661,119.6384
2020-11-17 15:38:00,198500,119.705
2020-11-17 15:39:00,120685,119.7233
2020-11-17 15:40:00,129924,119.77
2020-11-17 15:41:00,171721,119.72
2020-11-17 15:42:00,97083,119.78
2020-11-17 15:43:00,208840,119.65
2020-11-17 15:44:00,175387,119.665
2020-11-17 15:45:00,258662,119.76
2020-11-17 15:46:00,177619,119.67
2020-11-17 15:47:00,123205,119.69
2020-11-17 15:48:00,97807,119.67
2020-11-17 15:49:00,156965,119.73
2020-11-17 15:50:00,155811,119.67
2020-11-17 15:51:00,425086,119.6899
2020-11-17 15:52:00,428225,119.72
2020-11-17 15:53:00,321499,119.81
2020-11-17 15:54:00,399606,119.66
2020-11-17 15:55:00,661990,119.48
2020-11-17 15:56:00,388806,119.51
2020-11-17 15:57:00,368649,119.49
2020-11-17 15:58:00,347910,119.525
2020-11-17 15:59:00,450061,119.4201
2020-11-17 16:00:00,1108207,119.36
